Season,Name,Basin,BasinName,OceanCode,Ocean,StormType,MaxWindMPH,MaxWindKM,MinPressure,StartDate,EndDate,StormLength,Lat,Lon
2016,ALEX,NA,North Atlantic,A,Atlantic,Extratropical,86,138,978,07JAN2016,17JAN2016,10,30.8,-28.7
2016,VICTOR,SP,South Pacific,P,Pacific,Not Reported,92,148,958,14JAN2016,22JAN2016,8,-20.2,-166.3
2016,CORENTIN,SI,South Indian,I,Indian,Tropical,69,111,975,19JAN2016,31JAN2016,12,-21.6,71.9
2016,STAN,SI,South Indian,I,Indian,Not Reported,63,101,980,27JAN2016,01FEB2016,5,-18.7,118.9
2016,DAYA,SI,South Indian,I,Indian,Extratropical,44,71,983,07FEB2016,13FEB2016,6,-40.1,63.2
2016,TATIANA,SP,South Pacific,P,Pacific,Not Reported,58,93,982,09FEB2016,15FEB2016,6,-18.15,159.8
2016,URIAH,SI,South Indian,I,Indian,Extratropical,127,204,925,09FEB2016,25FEB2016,16,-19.3,79.6
2016,WINSTON,SP,South Pacific,P,Pacific,Not Reported,173,278,884,10FEB2016,26FEB2016,16,-17,179.9
2016,YALO,SP,South Pacific,P,Pacific,Not Reported,46,74,,24FEB2016,26FEB2016,2,-20,-154.9
2016,EMERAUDE,SI,South Indian,I,Indian,Tropical,127,204,940,14MAR2016,23MAR2016,9,-10.5,84.1
2016,SIXTEEN,SP,South Pacific,P,Pacific,Not Reported,35,56,998,14MAR2016,16MAR2016,2,-16.4,140.3
2016,SEVENTEEN,SI,South Indian,I,Indian,Tropical,52,84,993,27MAR2016,30MAR2016,3,-21.6,80
2016,ZENA,SP,South Pacific,P,Pacific,Not Reported,81,130,975,05APR2016,07APR2016,2,-18.8,175.3
2016,FANTALA,SI,South Indian,I,Indian,Tropical,155,249,910,10APR2016,26APR2016,16,-9.8,50.8
2016,AMOS,SP,South Pacific,P,Pacific,Not Reported,92,148,965,20APR2016,24APR2016,4,-12.5,-176.3
2016,ROANU,NI,North Indian,I,Indian,Not Reported,52,84,983,17MAY2016,22MAY2016,5,20.4,87.7
2016,BONNIE,NA,North Atlantic,A,Atlantic,Extratropical,46,74,1006,27MAY2016,09JUN2016,13,30.7,-79.1
2016,COLIN,NA,North Atlantic,A,Atlantic,Extratropical,58,93,987,05JUN2016,08JUN2016,3,35.5,-74.4
2016,ONE,EP,East Pacific,P,Pacific,Disturbance,35,56,1006,06JUN2016,08JUN2016,2,13.9,-97.1
2016,DANIELLE,NA,North Atlantic,A,Atlantic,Disturbance,46,74,1007,18JUN2016,21JUN2016,3,20.7,-96.1
2016,TWO,NI,North Indian,I,Indian,Not Reported,29,47,996,27JUN2016,29JUN2016,2,21.5,64.5
2016,AGATHA,EP,East Pacific,P,Pacific,Disturbance,52,84,1002,01JUL2016,08JUL2016,7,16.8,-122.1
2016,BLAS,EP,East Pacific,P,Pacific,Disturbance,138,222,947,02JUL2016,11JUL2016,9,14.3,-121.2
2016,NEPARTAK,WP,West Pacific,P,Pacific,Tropical,127,204,900,02JUL2016,10JUL2016,8,19.5,128.4
2016,CELIA,EP,East Pacific,P,Pacific,Disturbance,98,158,972,06JUL2016,21JUL2016,15,15.1,-125.8
2016,DARBY,EP,East Pacific,P,Pacific,Tropical,121,195,958,11JUL2016,20JUL2016,9,17.9,-124.4
2016,ESTELLE,EP,East Pacific,P,Pacific,Disturbance,69,111,990,15JUL2016,24JUL2016,9,16.5,-112.2
2016,FRANK,EP,East Pacific,P,Pacific,Disturbance,86,138,979,21JUL2016,30JUL2016,9,21.6,-118.2
2016,GEORGETTE,EP,East Pacific,P,Pacific,Disturbance,132,212,952,21JUL2016,30JUL2016,9,16.6,-126.4
2016,LUPIT,WP,West Pacific,P,Pacific,Extratropical,46,74,1000,22JUL2016,26JUL2016,4,31,158.5
2016,MIRINAE,WP,West Pacific,P,Pacific,Tropical,63,101,980,25JUL2016,28JUL2016,3,19.9,106.7
2016,NIDA,WP,West Pacific,P,Pacific,Tropical,69,111,975,29JUL2016,03AUG2016,5,18.2,122.3
2016,HOWARD,EP,East Pacific,P,Pacific,Disturbance,58,93,998,31JUL2016,07AUG2016,7,18,-127
2016,EARL,NA,North Atlantic,A,Atlantic,Tropical,86,138,979,02AUG2016,06AUG2016,4,17.4,-87.8
2016,OMAIS,WP,West Pacific,P,Pacific,Extratropical,69,111,975,02AUG2016,12AUG2016,10,24.9,147.7
2016,IVETTE,EP,East Pacific,P,Pacific,Disturbance,58,93,1000,03AUG2016,11AUG2016,8,15.3,-131.2
2016,JAVIER,EP,East Pacific,P,Pacific,Disturbance,63,101,997,06AUG2016,10AUG2016,4,22.2,-109.3
2016,CONSON,WP,West Pacific,P,Pacific,Extratropical,52,84,985,07AUG2016,16AUG2016,9,17,157.8
2016,CHANTHU,WP,West Pacific,P,Pacific,Extratropical,63,101,980,12AUG2016,18AUG2016,6,37.8,141.7
2016,DIANMU,WP,West Pacific,P,Pacific,Tropical,46,74,980,15AUG2016,19AUG2016,4,20.5,108.2
2016,FIONA,NA,North Atlantic,A,Atlantic,Disturbance,52,84,1004,16AUG2016,24AUG2016,8,16.9,-41.5
2016,KAY,EP,East Pacific,P,Pacific,Disturbance,52,84,1000,17AUG2016,26AUG2016,9,19.8,-112.4
2016,LIONROCK,WP,West Pacific,P,Pacific,Extratropical,104,167,940,17AUG2016,30AUG2016,13,27.7,137.9
2016,MINDULLE,WP,West Pacific,P,Pacific,Extratropical,75,121,975,17AUG2016,23AUG2016,6,33.1,139.4
2016,KOMPASU,WP,West Pacific,P,Pacific,Extratropical,40,64,994,18AUG2016,22AUG2016,4,32.9,147.3
2016,GASTON,NA,North Atlantic,A,Atlantic,Disturbance,121,195,955,21AUG2016,03SEP2016,13,30.6,-55.2
2016,LESTER,EP,East Pacific,P,Pacific,Tropical,144,232,944,24AUG2016,31AUG2016,7,17.7,-137
2016,MADELINE,EP,East Pacific,P,Pacific,Tropical,58,93,1000,26AUG2016,28AUG2016,2,15.5,-139
2016,EIGHT,NA,North Atlantic,A,Atlantic,Tropical,35,56,1010,27AUG2016,01SEP2016,5,31.5,-69.6
2016,HERMINE,NA,North Atlantic,A,Atlantic,Extratropical,81,130,981,28AUG2016,08SEP2016,11,29,-84.8
2016,NAMTHEUN,WP,West Pacific,P,Pacific,Tropical,81,130,955,31AUG2016,05SEP2016,5,27.2,130.8
2016,NEWTON,EP,East Pacific,P,Pacific,Disturbance,92,148,977,04SEP2016,08SEP2016,4,22.1,-109.5
2016,MALOU,WP,West Pacific,P,Pacific,Tropical,46,74,1000,05SEP2016,07SEP2016,2,27.6,126.8
2016,MERANTI,WP,West Pacific,P,Pacific,Extratropical,138,222,890,09SEP2016,17SEP2016,8,20.4,122.9
2016,ORLENE,EP,East Pacific,P,Pacific,Disturbance,109,175,967,10SEP2016,17SEP2016,7,17.7,-119.2
2016,MALAKAS,WP,West Pacific,P,Pacific,Extratropical,109,175,930,11SEP2016,20SEP2016,9,23,123.1
2016,RAI,WP,West Pacific,P,Pacific,Tropical,40,64,996,11SEP2016,13SEP2016,2,15.5,108.9
2016,IAN,NA,North Atlantic,A,Atlantic,Extratropical,63,101,984,12SEP2016,17SEP2016,5,46.8,-38.6
2016,KARL,NA,North Atlantic,A,Atlantic,Extratropical,69,111,980,12SEP2016,26SEP2016,14,35.8,-55.1
2016,JULIA,NA,North Atlantic,A,Atlantic,Extratropical,52,84,1007,13SEP2016,21SEP2016,8,29,-81.2
2016,PAINE,EP,East Pacific,P,Pacific,Disturbance,92,148,979,18SEP2016,21SEP2016,3,22,-116.1
2016,LISA,NA,North Atlantic,A,Atlantic,Disturbance,52,84,999,19SEP2016,26SEP2016,7,17.2,-31.7
2016,MEGI,WP,West Pacific,P,Pacific,Tropical,98,158,945,22SEP2016,29SEP2016,7,23.3,123.3
2016,CHABA,WP,West Pacific,P,Pacific,Extratropical,132,212,905,24SEP2016,07OCT2016,13,25.4,126.9
2016,ROSLYN,EP,East Pacific,P,Pacific,Disturbance,52,84,999,25SEP2016,30SEP2016,5,16.7,-119.4
2016,ULIKA,EP,East Pacific,P,Pacific,Disturbance,75,121,992,25SEP2016,03OCT2016,8,13.6,-139.1
2016,MATTHEW,NA,North Atlantic,A,Atlantic,Extratropical,167,269,934,28SEP2016,10OCT2016,12,13.4,-71.9
2016,NICOLE,NA,North Atlantic,A,Atlantic,Extratropical,138,222,950,04OCT2016,19OCT2016,15,30.6,-66.2
2016,AERE,WP,West Pacific,P,Pacific,Tropical,69,111,975,04OCT2016,10OCT2016,6,21.2,115.9
2016,SONGDA,WP,West Pacific,P,Pacific,Extratropical,115,185,925,04OCT2016,13OCT2016,9,30.3,148.9
2016,SARIKA,WP,West Pacific,P,Pacific,Tropical,109,175,935,13OCT2016,19OCT2016,6,15.8,121.8
2016,HAIMA,WP,West Pacific,P,Pacific,Extratropical,132,212,900,14OCT2016,26OCT2016,12,16,127.5
2016,KYANT,NI,North Indian,I,Indian,Not Reported,46,74,996,21OCT2016,27OCT2016,6,16.6,89
2016,SEYMOUR,EP,East Pacific,P,Pacific,Disturbance,150,241,940,22OCT2016,30OCT2016,8,15.9,-117.1
2016,MEARI,WP,West Pacific,P,Pacific,Extratropical,86,138,960,30OCT2016,09NOV2016,10,18.3,140.7
2016,MA-ON,WP,West Pacific,P,Pacific,Tropical,40,64,1002,08NOV2016,13NOV2016,5,16.9,156.9
2016,TINA,EP,East Pacific,P,Pacific,Disturbance,40,64,1004,13NOV2016,18NOV2016,5,17.5,-107.3
2016,OTTO,NA,North Atlantic,A,Atlantic,Tropical,115,185,975,17NOV2016,25NOV2016,8,11,-83
2016,TOKAGE,WP,West Pacific,P,Pacific,Tropical,58,93,992,24NOV2016,28NOV2016,4,13.2,118.7
2016,OTTO,EP,East Pacific,P,Pacific,Tropical,69,111,994,25NOV2016,26NOV2016,1,10.6,-86.2
2016,NADA,NI,North Indian,I,Indian,Not Reported,46,74,1000,29NOV2016,02DEC2016,3,9.8,84
2016,VARDAH,NI,North Indian,I,Indian,Not Reported,81,130,975,06DEC2016,17DEC2016,11,13.3,84.7
2016,NOCK-TEN,WP,West Pacific,P,Pacific,Tropical,121,195,915,20DEC2016,28DEC2016,8,13.3,128.2
2015,ADJALI,SI,South Indian,I,Indian,Tropical,69,111,987,15NOV2014,24NOV2014,9,-9.1,67.4
2015,TWO,SI,South Indian,I,Indian,Tropical,37,60,997,23NOV2014,02DEC2014,9,-15.6,61.9
2015,KATE,SI,South Indian,I,Indian,Tropical,104,167,950,21DEC2014,04JAN2015,14,-12.5,94
2015,BANSI,SI,South Indian,I,Indian,Extratropical,138,222,910,08JAN2015,19JAN2015,11,-17.5,57.3
2015,MEKKHALA,WP,West Pacific,P,Pacific,Tropical,69,111,975,13JAN2015,20JAN2015,7,11,127.5
2015,CHEDZA,SI,South Indian,I,Indian,Extratropical,66,106,975,13JAN2015,22JAN2015,9,-19.8,44
2015,NIKO,SP,South Pacific,P,Pacific,Not Reported,63,101,982,20JAN2015,24JAN2015,4,-21.7,-145.9
2015,DIAMONDRA,SI,South Indian,I,Indian,Extratropical,52,84,985,24JAN2015,01FEB2015,8,-18.8,78.9
2015,EUNICE,SI,South Indian,I,Indian,Extratropical,144,232,915,24JAN2015,02FEB2015,9,-18.5,68
2015,OLA,SP,South Pacific,P,Pacific,Not Reported,92,148,955,30JAN2015,04FEB2015,5,-21.1,162.1
2015,FUNDI,SI,South Indian,I,Indian,Tropical,63,101,978,05FEB2015,11FEB2015,6,-30.6,44.4
2015,HIGOS,WP,West Pacific,P,Pacific,Tropical,104,167,940,06FEB2015,12FEB2015,6,14.2,154.2
2015,LAM,SP,South Pacific,P,Pacific,Not Reported,115,185,943,14FEB2015,20FEB2015,6,-11.98,135.38
2015,MARCIA,SP,South Pacific,P,Pacific,Not Reported,127,204,932,16FEB2015,20FEB2015,4,-21.6,150.5
2015,GLENDA,SI,South Indian,I,Indian,Extratropical,58,93,970,20FEB2015,03MAR2015,11,-25.3,67
2015,HALIBA,SI,South Indian,I,Indian,Extratropical,52,84,991,04MAR2015,13MAR2015,9,-20.3,52.5
2015,PAM,SP,South Pacific,P,Pacific,Not Reported,155,249,896,07MAR2015,20MAR2015,13,-17.5,168.7
2015,OLWYN,SI,South Indian,I,Indian,Not Reported,86,138,955,08MAR2015,14MAR2015,6,-22.21,113.74
2015,NATHAN,SP,South Pacific,P,Pacific,Not Reported,104,167,963,09MAR2015,27MAR2015,18,-14.69,145.03
2015,BAVI,WP,West Pacific,P,Pacific,Tropical,52,84,990,10MAR2015,21MAR2015,11,11,156.9
2015,REUBEN,SP,South Pacific,P,Pacific,Not Reported,46,74,990,20MAR2015,25MAR2015,5,-24.5,-174.1
2015,MAYSAK,WP,West Pacific,P,Pacific,Tropical,121,195,910,26MAR2015,07APR2015,12,10,141.3
2015,HAISHEN,WP,West Pacific,P,Pacific,Tropical,40,64,998,02APR2015,06APR2015,4,8.7,152.3
2015,JOALANE,SI,South Indian,I,Indian,Tropical,86,138,962,02APR2015,17APR2015,15,-15.1,64.7
2015,IKOLA,SI,South Indian,I,Indian,Not Reported,109,175,953,04APR2015,08APR2015,4,-16.85,92.07
2015,SOLO,SP,South Pacific,P,Pacific,Not Reported,63,101,985,10APR2015,12APR2015,2,-17.6,161.3
2015,QUANG,SI,South Indian,I,Indian,Not Reported,115,185,950,27APR2015,01MAY2015,4,-17.8,109.95
2015,NOUL,WP,West Pacific,P,Pacific,Extratropical,127,204,920,02MAY2015,16MAY2015,14,17,123.3
2015,ANA,NA,North Atlantic,A,Atlantic,Disturbance,58,93,998,06MAY2015,12MAY2015,6,31.9,-77.3
2015,DOLPHIN,WP,West Pacific,P,Pacific,Extratropical,115,185,925,06MAY2015,24MAY2015,18,15.8,141.5
2015,ANDRES,EP,East Pacific,P,Pacific,Disturbance,144,232,937,28MAY2015,07JUN2015,10,15.4,-119.5
2015,BLANCA,EP,East Pacific,P,Pacific,Disturbance,144,232,936,31MAY2015,09JUN2015,9,12.3,-104.6
2015,ASHOBAA,NI,North Indian,I,Indian,Not Reported,52,84,990,07JUN2015,12JUN2015,5,21.2,62.5
2015,CARLOS,EP,East Pacific,P,Pacific,Disturbance,92,148,978,10JUN2015,18JUN2015,8,17.7,-104.3
2015,BILL,NA,North Atlantic,A,Atlantic,Disturbance,58,93,997,16JUN2015,21JUN2015,5,28,-96
2015,KUJIRA,WP,West Pacific,P,Pacific,Tropical,52,84,985,19JUN2015,25JUN2015,6,16.8,111.6
2015,RAQUEL,SP,South Pacific,P,Pacific,Not Reported,40,64,996,28JUN2015,03JUL2015,5,-5.9,160
2015,CHAN-HOM,WP,West Pacific,P,Pacific,Extratropical,104,167,935,29JUN2015,13JUL2015,14,25.1,126.5
2015,LINFA,WP,West Pacific,P,Pacific,Tropical,58,93,980,01JUL2015,10JUL2015,9,21.5,118.7
2015,NANGKA,WP,West Pacific,P,Pacific,Tropical,115,185,925,02JUL2015,18JUL2015,16,14.3,153.5
2015,ELA,EP,East Pacific,P,Pacific,Disturbance,46,74,1002,07JUL2015,12JUL2015,5,17.2,-143.4
2015,DOLORES,EP,East Pacific,P,Pacific,Disturbance,132,212,946,11JUL2015,22JUL2015,11,18.1,-109.4
2015,CLAUDETTE,NA,North Atlantic,A,Atlantic,Disturbance,52,84,1003,12JUL2015,15JUL2015,3,37.6,-67.5
2015,ENRIQUE,EP,East Pacific,P,Pacific,Disturbance,52,84,1000,12JUL2015,21JUL2015,9,17.9,-130.1
2015,HALOLA,WP,West Pacific,P,Pacific,Tropical,92,148,955,13JUL2015,26JUL2015,13,23,140.5
2015,FELICIA,EP,East Pacific,P,Pacific,Disturbance,40,64,1004,22JUL2015,27JUL2015,5,18.6,-114.5
2015,KOMEN,NI,North Indian,I,Indian,Not Reported,46,74,986,26JUL2015,02AUG2015,7,22.2,91.4
2015,EIGHT,EP,East Pacific,P,Pacific,Disturbance,35,56,1006,27JUL2015,31JUL2015,4,15.1,-123.9
2015,GUILLERMO,EP,East Pacific,P,Pacific,Disturbance,109,175,967,27JUL2015,08AUG2015,12,12.5,-133.9
2015,SOUDELOR,WP,West Pacific,P,Pacific,Extratropical,132,212,900,29JUL2015,12AUG2015,14,17.9,140.7
2015,HILDA,EP,East Pacific,P,Pacific,Disturbance,144,232,937,06AUG2015,14AUG2015,8,13.6,-142.8
2015,MOLAVE,WP,West Pacific,P,Pacific,Extratropical,52,84,985,06AUG2015,17AUG2015,11,31.1,141.8
2015,GONI,WP,West Pacific,P,Pacific,Extratropical,115,185,930,13AUG2015,30AUG2015,17,25.2,124.6
2015,ATSANI,WP,West Pacific,P,Pacific,Extratropical,115,185,925,14AUG2015,29AUG2015,15,18.7,152.9
2015,ELEVEN,EP,East Pacific,P,Pacific,Disturbance,35,56,1003,16AUG2015,20AUG2015,4,16.5,-112.9
2015,DANNY,NA,North Atlantic,A,Atlantic,Tropical,127,204,960,17AUG2015,24AUG2015,7,13.8,-47.8
2015,IGNACIO,EP,East Pacific,P,Pacific,Tropical,92,148,982,23AUG2015,27AUG2015,4,12.6,-139
2015,ERIKA,NA,North Atlantic,A,Atlantic,Tropical,52,84,1001,24AUG2015,28AUG2015,4,16.5,-60.8
2015,JIMENA,EP,East Pacific,P,Pacific,Disturbance,155,249,932,25AUG2015,10SEP2015,16,12.2,-124.4
2015,FRED,NA,North Atlantic,A,Atlantic,Tropical,86,138,986,30AUG2015,06SEP2015,7,16.1,-23.3
2015,KEVIN,EP,East Pacific,P,Pacific,Disturbance,58,93,998,31AUG2015,06SEP2015,6,18.5,-115.8
2015,KILO,WP,West Pacific,P,Pacific,Extratropical,92,148,950,02SEP2015,13SEP2015,11,24,179.8
2015,LINDA,EP,East Pacific,P,Pacific,Disturbance,127,204,950,04SEP2015,14SEP2015,10,20.6,-113.6
2015,GRACE,NA,North Atlantic,A,Atlantic,Tropical,58,93,1000,05SEP2015,09SEP2015,4,12.7,-29.2
2015,ETAU,WP,West Pacific,P,Pacific,Extratropical,58,93,985,06SEP2015,11SEP2015,5,29.3,138.3
2015,HENRI,NA,North Atlantic,A,Atlantic,Tropical,52,84,1003,08SEP2015,11SEP2015,3,30.9,-60.8
2015,KROVANH,WP,West Pacific,P,Pacific,Extratropical,98,158,945,13SEP2015,26SEP2015,13,22.2,143.5
2015,VAMCO,WP,West Pacific,P,Pacific,Tropical,40,64,998,13SEP2015,15SEP2015,2,15.1,110.8
2015,IDA,NA,North Atlantic,A,Atlantic,Disturbance,52,84,1001,15SEP2015,28SEP2015,13,19.7,-47.3
2015,NINE,NA,North Atlantic,A,Atlantic,Tropical,35,56,1006,15SEP2015,19SEP2015,4,15.6,-45
2015,MALIA,EP,East Pacific,P,Pacific,Disturbance,52,84,992,17SEP2015,23SEP2015,6,25.2,-171.4
2015,DUJUAN,WP,West Pacific,P,Pacific,Tropical,127,204,925,19SEP2015,30SEP2015,11,22.3,127.5
2015,SIXTEEN,EP,East Pacific,P,Pacific,Tropical,35,56,1001,20SEP2015,21SEP2015,1,24.3,-113.7
2015,NIALA,EP,East Pacific,P,Pacific,Disturbance,63,101,992,23SEP2015,30SEP2015,7,17.1,-151.9
2015,JOAQUIN,NA,North Atlantic,A,Atlantic,Extratropical,155,249,931,26SEP2015,15OCT2015,19,25.4,-72.6
2015,MARTY,EP,East Pacific,P,Pacific,Disturbance,81,130,987,26SEP2015,30SEP2015,4,16.6,-102.4
2015,MUJIGAE,WP,West Pacific,P,Pacific,Tropical,98,158,950,30SEP2015,05OCT2015,5,20.5,111.5
2015,CHOI-WAN,WP,West Pacific,P,Pacific,Extratropical,69,111,952,01OCT2015,11OCT2015,10,28.5,151.3
2015,OHO,EP,East Pacific,P,Pacific,Extratropical,109,175,957,01OCT2015,10OCT2015,9,21.9,-146.6
2015,THREE,NI,North Indian,I,Indian,Not Reported,35,56,1000,09OCT2015,12OCT2015,3,14.7,69.9
2015,NORA,EP,East Pacific,P,Pacific,Disturbance,69,111,993,09OCT2015,15OCT2015,6,12.2,-142.7
2015,KOPPU,WP,West Pacific,P,Pacific,Tropical,115,185,925,12OCT2015,21OCT2015,9,16.1,122.1
2015,CHAMPI,WP,West Pacific,P,Pacific,Extratropical,109,175,930,13OCT2015,26OCT2015,13,19.8,140.2
2015,OLAF,EP,East Pacific,P,Pacific,Disturbance,150,241,938,15OCT2015,28OCT2015,13,10.2,-140
2015,PATRICIA,EP,East Pacific,P,Pacific,Tropical,213,343,872,20OCT2015,24OCT2015,4,17.3,-105.6
2015,CHAPALA,NI,North Indian,I,Indian,Not Reported,132,212,940,28OCT2015,04NOV2015,7,14.2,60.8
2015,MEGH,NI,North Indian,I,Indian,Not Reported,109,175,964,05NOV2015,10NOV2015,5,12.7,54.9
2015,KATE,NA,North Atlantic,A,Atlantic,Extratropical,86,138,980,08NOV2015,13NOV2015,5,36.2,-62.5
2015,IN-FA,WP,West Pacific,P,Pacific,Extratropical,109,175,935,16NOV2015,27NOV2015,11,11.2,142.9
2015,RICK,EP,East Pacific,P,Pacific,Disturbance,40,64,1002,18NOV2015,26NOV2015,8,14.2,-106.1
2015,SANDRA,EP,East Pacific,P,Pacific,Disturbance,150,241,934,23NOV2015,29NOV2015,6,14.1,-110.2
2015,MELOR,WP,West Pacific,P,Pacific,Tropical,109,175,935,10DEC2015,17DEC2015,7,12.5,125.8
2015,NINE,EP,East Pacific,P,Pacific,Not Reported,35,56,1001,28DEC2015,01JAN2016,4,2.2,-175.5
2014,ONE,SI,South Indian,I,Indian,Tropical,40,64,997,23OCT2013,29OCT2013,6,-11.8,66
